지역,이름,주소,위도,경도
가평군,마더스 아뜰리에 로스터리 카페,"경기도 가평군 설악면 유명로 1454-25, B동 1~2층",37.66186985,127.4816665
가평군,불나불나,경기도 가평군 조종면 현창로44번길 13,37.81977737,127.3488157
가평군,뮤직스토리,경기도 가평군 상면 수목원로 398,37.74694664,127.3528801
가평군,더 벙커(The Bunker),"경기도 가평군 가평읍 오리나무길 51, 지하1층",37.82322643,127.5141806
가평군,헤븐,경기도 가평군 조종면 현창로 70,37.8204256,127.3464232
가평군,델씨엘로,"경기도 가평군 청평면 경춘로 1031, 1층",37.75282432,127.4336256
가평군,까사32,"경기도 가평군 설악면 유명로 2384, C동 1층",37.71150421,127.4451329
가평군,스노우까페,경기도 가평군 가평읍 북한강변로 1024 (외 3필지),37.8039029,127.5252431
가평군,설악포장마차,경기도 가평군 설악면 신천중앙로 93 (외 1필지(관련지번 408-7번지)),37.67677924,127.4929691
가평군,하겐나,"경기도 가평군 설악면 한서로 96, 1층",37.67311999,127.5023247
가평군,HIM & I,경기도 가평군 청평면 상지로 212,37.76870329,127.4731017
가평군,지붕위에 커피잔,경기도 가평군 가평읍 호반로 2552,37.8135971,127.5149657
가평군,커피볶는남자,경기도 가평군 가평읍 가평제방길 63,37.8209854,127.5189351
가평군,버치티하우스,경기도 가평군 상면 둔덕말길 232 (외 45필지),37.7971447,127.3054378
가평군,모아이카페,"경기도 가평군 상면 수목원로164번길 29, 7동 1층",37.76121608,127.3615029
가평군,몽블랑,"경기도 가평군 조종면 현창로38번길 21, 나동 2층",37.8200121,127.3491812
가평군,COFFEE N CRAFT (커피앤크래프트),경기도 가평군 조종면 운악청계로 424,37.8530373,127.3563121
가평군,킹,경기도 가평군 청평면 호반로 640,37.7099166,127.4578097
가평군,메이플티하우스,"경기도 가평군 상면 둔덕말길 232, 1층",37.7971447,127.3054378
가평군,아도니스,경기도 가평군 상면 수목원로 314-2,37.7515206,127.358813
가평군,파인티하우스,경기도 가평군 상면 둔덕말길 232 (외 45필지),37.7971447,127.3054378
가평군,카페모이,경기도 가평군 가평읍 호반로 2617,37.8192331,127.5137781
가평군,블랜딩,경기도 가평군 북면 이곡둑길 153 (외 1필지),37.8813116,127.5489092
가평군,아미킹,경기도 가평군 조종면 청군로 1185,37.8110138,127.3515125
가평군,포엠,경기도 가평군 조종면 현창로38번길 6,37.8185359,127.3487313
가평군,또래오래치킨 모노커피 설악점,"경기도 가평군 설악면 유명로 1600, 102호",37.6725071,127.4876412
가평군,7080연화까페,경기도 가평군 설악면 신천중앙로 78,37.6754441,127.4942008
가평군,루,"경기도 가평군 가평읍 상지로 695, 4동 2층",37.7510644,127.4955513
가평군,일레븐스가든,경기도 가평군 청평면 호반로 752 (외 1필지),37.7086373,127.4670329
가평군,히어앤나우,경기도 가평군 가평읍 호반로 1698-59,37.7451626,127.5147208
가평군,남매이야기,"경기도 가평군 조종면 현창로44번길 19, 지하1층",37.8203189,127.3490122
가평군,에쿠스,경기도 가평군 청평면 경춘로 1195,37.7645494,127.4437764
가평군,봉수아르,경기도 가평군 청평면 경춘로 256,37.6981382,127.3849883
가평군,바젠,경기도 가평군 가평읍 가화로 55-6 (.4.11),37.82488471,127.5153399
가평군,라일락,경기도 가평군 청평면 청평중앙로72번길 22 (청평리),37.7376342,127.4226403
가평군,오렌지카페,경기도 가평군 가평읍 가화로 54,37.8247382,127.5157469
가평군,사우젠 아일랜드,"경기도 가평군 설악면 자잠로282번길 18-16, 지하1층",37.6971391,127.4920535
가평군,던힐,"경기도 가평군 설악면 신천중앙로 120, 2층",37.6781441,127.4905571
가평군,펠리체,경기도 가평군 가평읍 호반로 2588,37.8166793,127.5147144
가평군,퍼즐,"경기도 가평군 청평면 청평중앙로 59, 2층",37.7386053,127.4206491
가평군,다비어,경기도 가평군 가평읍 보납로6번길 15 외 2필지 (읍내리),37.8298193,127.5116361
가평군,나르샤,경기도 가평군 상면 임초밤안골로 119-95,37.7567662,127.3756441
가평군,에너지까페 이우,경기도 가평군 설악면 신천중앙로 29 (신천리),37.672477,127.4905881
가평군,카페 나이아가라,경기도 가평군 설악면 유명로 2384 (외 4필지),37.7111349,127.4454444
가평군,디안,"경기도 가평군 가평읍 새말옛로 3, 2동",37.8282646,127.5107167
가평군,해바라기카페,경기도 가평군 가평읍 가화로 55-6,37.8248754,127.5152708
가평군,라훔(LaHum),경기도 가평군 북면 백둔로 508,37.904364,127.4536941
고양시,나인테일홀덤펍,"경기도 고양시 일산동구 고봉로 26-32, 301,304호 (장항동, 양우로데오랜드C동)",37.66331941,126.766059
고양시,오디션,"경기도 고양시 일산동구 백석로72번길 6-3, 지하1층 일부호 (백석동)",37.6464376,126.7863246
고양시,로드,"경기도 고양시 일산동구 산두로273번길 39, 1층 일부호 (정발산동)",37.67382028,126.7779025
고양시,소풍,"경기도 고양시 일산서구 덕이로 222-30, 1층일부호 (덕이동)",37.69845251,126.7375926
고양시,추억까페,"경기도 고양시 덕양구 호국로 778-10 (성사동,지하1층)",37.65567629,126.8360486
고양시,피자아일랜드,"경기도 고양시 일산동구 무궁화로 43-15 (장항동,외1필지(한강세이프빌119호))",37.6638003,126.7680498
고양시,갤러리카페밀,"경기도 고양시 일산동구 애니골길 74, 3층 전체호 (풍동)",37.6739969,126.7920803
고양시,스모키(SMOKIE),"경기도 고양시 일산동구 무궁화로 31-2, 207호 (장항동, 풍성프라자 )",37.66312346,126.7678863
고양시,노상,"경기도 고양시 일산동구 중앙로1261번길 57 (장항동,레이크프라자-1 303호)",37.657211,126.7709604
고양시,유락,"경기도 고양시 일산동구 무궁화로 43-33, 108호 (장항동, 동하넥서스빌딩 )",37.6645736,126.7672993
고양시,마루,"경기도 고양시 일산동구 중앙로1261번길 61, 204호 (장항동,메트로골드)",37.65729966,126.7702122
고양시,미투(ME Too),"경기도 고양시 일산동구 백석로71번길 31, 1층 (백석동)",37.6477408,126.7845759
고양시,테라(Tera),"경기도 고양시 일산동구 일산로441번길 22, 1층(일부)층 (정발산동)",37.6724037,126.7768752
고양시,페스토(Pesto),"경기도 고양시 일산동구 동국로 24, 1층 일부호 (식사동, 식사동근린생활시설)",37.6761255,126.8075717
고양시,호박차한잔,"경기도 고양시 일산서구 일청로 14-1 (일산동, 2층전체)",37.68566346,126.7704661
고양시,둥지카페,"경기도 고양시 일산서구 원일로74번길 14 (일산동, 2층일부)",37.6858043,126.7699204
고양시,플레이,"경기도 고양시 일산동구 일산로380번길 63-24, 1층 전체호 (정발산동)",37.67153833,126.7834631
고양시,유진,"경기도 고양시 일산서구 원일로 75, 2층 (일산동)",37.6862934,126.7705751
고양시,윌커피로스터스,"경기도 고양시 덕양구 중앙로557번길 7-20 (행신동, 주공프라자 101호)",37.62247087,126.8356001
고양시,돈쥬앙,"경기도 고양시 일산서구 중앙로 1576, 태진프라자 비104(일부), 비105(일부), 비106(전체)호 (대화동)",37.67669321,126.7471822
고양시,레너드,"경기도 고양시 덕양구 은빛로 53, /115,115-1호 (화정동, 코스미온빌)",37.63803268,126.8336327
고양시,도어스엔테이블(Doors N Table),"경기도 고양시 일산동구 일산로394번길 7, 1층 전체호 (정발산동)",37.67034566,126.7815016
고양시,보스,"경기도 고양시 덕양구 화신로260번길 37 (화정동,진솔프라자 지하 1층(12,14,19,20,21,15호일부))",37.6324131,126.8324849
고양시,비즈까페,"경기도 고양시 일산서구 대화로 145 (대화동, 1층(일부))",37.67166306,126.7358484
고양시,카사,"경기도 고양시 일산서구 대산로 220 (대화동,대진프라자 지하1층 일부)",37.67879433,126.7544415
고양시,숯토리 일산백석점,"경기도 고양시 일산동구 강송로87번길 54-4 (백석동,1층일부)",37.64602371,126.7867462
고양시,신전떡볶이 풍동점,"경기도 고양시 일산동구 숲속마을2로 141, 1층일부층 (풍동)",37.67271662,126.7980457
고양시,드림마켓,"경기도 고양시 일산서구 호수로838번길 41 (대화동,(1층 일부))",37.67162332,126.7507259
고양시,콘타(CONTA),"경기도 고양시 일산동구 강송로87번길 7-9, 1층 전체호 (백석동)",37.64711066,126.7891276
고양시,신라카페,"경기도 고양시 일산서구 고양대로672번길 3 (일산동,지하1층)",37.6838521,126.7707414
고양시,수다(秀茶)스토리,"경기도 고양시 일산서구 대산로211번길 25, 1층일부호 (대화동)",37.6770708,126.7544846
고양시,천둥,"경기도 고양시 일산동구 고봉로 20-21, 양우로데오랜드 B동 1층 114, 115호 (장항동)",37.66366879,126.7657154
고양시,우드스탁,"경기도 고양시 일산동구 고봉로 20-21 (장항동,외1필지 양우로데오랜드 B동 201호)",37.6636873,126.7656021
고양시,공차(貢茶),"경기도 고양시 일산동구 정발산로 21, 108호 (장항동, J3타워)",37.656878,126.7711541
고양시,우동가조쿠(일산웨스턴돔점),"경기도 고양시 일산동구 정발산로 24, B-210호 (장항동, 웨스턴돔2 )",37.65477048,126.7726277
고양시,뉴욕 야시장,"경기도 고양시 일산동구 중앙로1261번길 57, 107,108(일부)호 (장항동, 레이크프라자-1 )",37.65721104,126.7709604
고양시,티(T),"경기도 고양시 일산동구 무궁화로 19-14, 107,108호 (장항동, 로데오존)",37.662851,126.7664094
고양시,이층집,"경기도 고양시 일산동구 중앙로1261번길 59, 206호 (장항동, 로얄프라자3 )",37.65702063,126.770349
고양시,고구려옛날통닭,"경기도 고양시 일산동구 중앙로 1305-56, 108호 (장항동, 라페스타D동)",37.66102604,126.7683151
고양시,오말리(O'malley),"경기도 고양시 일산동구 정발산로 47, 301호 (장항동, 웅신아트)",37.6576849,126.7737127
고양시,숙희,"경기도 고양시 일산동구 중앙로1261번길 17, 301호 (장항동)",37.65801631,126.7728001
고양시,라이크라이크,"경기도 고양시 일산동구 무궁화로 8-19, 101,102(일부)호 (장항동, 삼라마이다스빌 )",37.66100766,126.7668073
고양시,밤새맥주 백석점,"경기도 고양시 일산동구 강송로73번길 53-18 (백석동, 1층일부)",37.64424139,126.7886222
고양시,쿠든비베러(Couldn't Be Better),"경기도 고양시 일산서구 강성로214번길 7-7, 1층 일부호 (대화동)",37.6751032,126.7528476
고양시,꽉찬김밥,"경기도 고양시 일산동구 정발산로196번길 8-18, 1층 일부호 (마두동)",37.66254621,126.7859266
고양시,한우결,"경기도 고양시 일산동구 정발산로 31-9, 201~204호 (장항동, 레이크프라자2 )",37.65716262,126.7717541
고양시,티아라,"경기도 고양시 일산동구 무궁화로93번길 6-18, 1층 (정발산동)",37.66708182,126.7739703
고양시,프로메사(나우),"경기도 고양시 덕양구 행신로 276, 명일프라자 102,103호 (행신동)",37.6195293,126.8450727
고양시,Live STUDIO(라이브 스튜디오),"경기도 고양시 일산서구 덕이로 186, 2층일부호 (덕이동)",37.69459584,126.7405359
고양시,하모니,"경기도 고양시 일산동구 호수로430번길 7-7 (백석동,번지 (지하1층 일부))",37.64353523,126.7791982
고양시,육원당,"경기도 고양시 덕양구 호국로 859, 가동 109(일부), 110호 (성사동, 원당e-편한세상 상가 )",37.66205462,126.8403228
고양시,쏘울,"경기도 고양시 일산동구 장백로 13 (백석동,외3필지 성우아뜨리움오피스텔 101호)",37.63983099,126.7898788
