지역,이름,주소,위도,경도
가평군,설악현무도장,경기도 가평군 설악면 자잠로 28-8,37.67962723,127.48968
가평군,가평야구장,경기도 가평군 가평읍 문화로 131,37.82541728,127.5069769
가평군,충효체육관,경기도 가평군 가평읍 석봉로 168,37.83012185,127.5109774
가평군,혜성운암태권도장,경기도 가평군 가평읍 석봉로153번길 12,37.82873393,127.5097499
가평군,태산태권도전문도장,경기도 가평군 청평면 여울길 21-2,37.73730435,127.4205308
가평군,해동검도 가평본관,경기도 가평군 가평읍 보납로 1,37.83146484,127.5106707
가평군,크로스나인,"경기도 가평군 조종면 청군로 1292, 2층",37.81954895,127.3464302
가평군,청평종합체육관,경기도 가평군 청평면 여울길 25,37.73735821,127.420213
가평군,힘찬체육도장,경기도 가평군 하면 연등길 38-3,37.81210052,127.3506832
가평군,명지체육관,경기도 가평군 가평읍 굴다리길 2 (청구서적),37.82621871,127.5149652
가평군,"궁중무술,합기도 가람체육관",경기도 가평군 청평면 잠곡로 11,37.7371508,127.4200543
가평군,화랑태권도체육관,경기도 가평군 청평면 잠곡로 22-1,37.73661983,127.4212693
가평군,용인대태권도아카데미,경기도 가평군 가평읍 석봉로191번길 16,37.83220412,127.5080685
가평군,동원체육관,경기도 가평군 하면 조종새싹로 20-9,37.82046344,127.3496551
가평군,튼튼체육관,경기도 가평군 가평읍 석봉로 146,37.8281479,127.5116248
가평군,가평검도관,경기도 가평군 가평읍 보납로6번길 8,37.83052743,127.5111138
가평군,가평경기태권도체육관,경기도 가평군 가평읍 연인2길 12,37.83017581,127.5121933
가평군,승우체육관,경기도 가평군 가평읍 광장로 5,37.82621011,127.5112268
가평군,청평 권투체육관,경기도 가평군 청평면 청평중앙로 4-1,37.73578674,127.415675
가평군,설악태권도,경기도 가평군 설악면 신천중앙로132번길 8 (세계기독교통일신령협회청심교회),37.67897826,127.4896007
가평군,한양대 송라 태권도장,경기도 가평군 청평면 경춘로 807-18,37.73812235,127.417318
가평군,현리검도관,경기도 가평군 하면 청군로 1285,37.81889071,127.3462156
