지역,이름,주소,위도,경도
가평군,가평군 설악도서관,경기도 가평군 설악면 자잠로 65 가평설악도서관,37.683315,127.491015
가평군,가평군 조종도서관,경기도 가평군 조종면 조종희망로 26번길22,37.81829,127.352981
가평군,가평군 한석봉도서관,경기도 가평군 가평읍 문화로 187,37.829691,127.506433
가평군,가평군 청평도서관,경기도 가평군 청평면 은고개로 31,37.739591,127.42423
고양시,행신어린이도서관,경기도 고양시 덕양구 소원로181번길 42(행신동),37.614791,126.843466
고양시,대덕작은도서관,경기도 고양시 덕양구 덕은로 34(덕은동),37.587101,126.876666
고양시,화전작은도서관,경기도 고양시 덕양구 화랑로 1-1(화전동),37.599469,126.872773
고양시,화정어린이도서관,경기도 고양시 덕양구 화신로 323(화정동),37.632833,126.826303
고양시,햇빛21작은도서관,경기도 고양시 덕양구 화신로 168(행신동),37.627322,126.841414
고양시,햇빛마을작은도서관,"경기도 고양시 덕양구 충장로152번길 39(행신동, 햇빛마을20단지아파트)",37.624831,126.838474
고양시,삼송작은도서관,경기도 고양시 덕양구 삼송로 180(삼송동),37.653145,126.893909
고양시,신원도서관,경기도 고양시 덕양구 신원2로 24(신원동),37.666383,126.886359
고양시,아람누리도서관,경기도 고양시 일산동구 중앙로 1286(마두동),37.661486,126.774456
고양시,원당도서관,경기도 고양시 덕양구 호국로790번길 87(성사동),37.65465084,126.840652
고양시,주엽어린이도서관,경기도 고양시 일산서구 주엽로 104(주엽동),37.668464,126.756504
고양시,탄현작은도서관,"경기도 고양시 일산서구 일현로 140(탄현동, 큰마을대림,현대아파트)",37.70014661,126.7655482
고양시,한뫼도서관,경기도 고양시 일산서구 탄중로 284(일산동),37.693557,126.776259
고양시,삼송도서관,경기도 고양시 덕양구 덕수천1로 73(삼송동),37.648863,126.884854
고양시,식사도서관,경기도 고양시 일산동구 위시티2로 43-6(식사동),37.67608444,126.815973
고양시,호수공원작은도서관,경기도 고양시 일산동구 호수로 595(장항동),37.653846,126.768781
고양시,고양윤창작은도서관,"경기도 고양시 덕양구 동헌로 398-17(고양동, 윤창아파트)",37.705803,126.894709
고양시,별꿈도서관,경기도 고양시 덕양구 고양대로 1937(동산동),37.646263,126.894479
고양시,대화마을작은도서관,"경기도 고양시 일산서구 대화1로 61(대화동, 대화마을5단지아파트)",37.672884,126.735397
고양시,덕이도서관,경기도 고양시 일산서구 하이파크로 128(덕이동),37.702949,126.754554
고양시,마두도서관,경기도 고양시 일산동구 일산로 355(마두동),37.666716,126.782057
고양시,모당공원작은도서관,경기도 고양시 일산동구 중산로 73-2(중산동),37.67814936,126.7812889
고양시,백석도서관,경기도 고양시 일산동구 일산로 118(백석동),37.647218,126.793626
고양시,사리현작은도서관,"경기도 고양시 일산동구 공릉천로 68(사리현동, 동문아파트)",37.69918492,126.8464339
고양시,강촌공원작은도서관,경기도 고양시 일산동구 강석로 132-1(마두동),37.653332,126.781081
고양시,고양작은도서관,경기도 고양시 덕양구 혜음로 19-11(고양동),37.702518,126.901195
고양시,관산작은도서관,경기도 고양시 덕양구 통일로 789(관산동),37.688013,126.862536
고양시,내유작은도서관,경기도 고양시 덕양구 유산길 96(내유동),37.73129325,126.8483937
고양시,대화도서관,경기도 고양시 일산서구 일산로 689(대화동),37.68102176,126.753942
고양시,가좌도서관,경기도 고양시 일산서구 가좌3로 16(가좌동),37.68616531,126.7203004
고양시,화정도서관,경기도 고양시 덕양구 은빛로77번길 8(화정동),37.637836,126.837104
고양시,행신도서관,경기도 고양시 덕양구 행당로33번길 25-6(행신동),37.620759,126.828338
고양시,일산도서관,경기도 고양시 일산서구 고양대로 586-65(일산동),37.68511428,126.764226
고양시,풍동도서관,경기도 고양시 일산동구 숲속마을로 108(풍동),37.67072982,126.7971233
고양시,마상공원작은도서관,경기도 고양시 덕양구 원당로69번길 46(주교동),37.66014949,126.8330165
과천시,문원도서관,경기도 과천시 문원로 104,37.42495599,127.007425
과천시,경기과천교육도서관,경기도 과천시 도서관길 36,37.43232929,126.9966058
과천시,정보과학도서관,경기도 과천시 중앙로 24,37.418729,126.989709
광명시,충현도서관,경기도 광명시 충현로42번길 19,37.4340499,126.8847409
광명시,소하도서관,경기도 광명시 소하일로 7,37.44545884,126.8879877
광명시,철산도서관,경기도 광명시 철산로 56,37.4769468,126.8722073
광명시,하안도서관,경기도 광명시 철망산로 46,37.4678555,126.8737104
광명시,연서도서관,경기도 광명시 연서일로10,37.482798,126.8646514
광명시,광명도서관,경기도 광명시 원광명안로 48,37.4652995,126.8514147
광주시,곤지암도서관,경기도 광주시 곤지암읍 곤지암로11번길 47,37.34906936,127.3410057
광주시,능평도서관,경기도 광주시 창뜰아랫길 6,37.3502799,127.1668655
광주시,중앙도서관,경기도 광주시 문화로 82,37.41063314,127.2531348
광주시,퇴촌작은도서관,경기도 광주시 퇴촌면 광동로 57-2,37.47065196,127.3092016
광주시,대주작은도서관,경기도 광주시 마루들길 276,37.37619768,127.2609618
광주시,만선도서관,경기도 광주시 곤지암읍 곤지암로11번길 47,37.3490423,127.341016
광주시,퇴촌도서관,경기도 광주시 곤지암읍 신만로 499,37.36622575,127.4039079
광주시,양벌도서관,경기도 광주시 양벌로 195-25,37.37909677,127.2576927
광주시,오포도서관,경기도 광주시 오포로 885,37.3693774,127.2313694
광주시,도척작은도서관,경기도 광주시 도척면 노곡로 20,37.3048153,127.3311699
광주시,광남작은도서관,경기도 광주시 회안대로 350-17,37.38545669,127.2358943
