지역,이름,주소,위도,경도
고양시,청정바지락칼국수,경기도 고양시 일산동구 일산로463번길 7,37.6737966,126.7754243
고양시,쥐눈이 콩마을,경기도 고양시 덕양구 신촌길 81-15,37.66995281,126.8554586
고양시,정통중화요리 남궁,경기도 고양시 일산서구 일산로 682,37.68211454,126.7535463
고양시,야구장농원,경기도 고양시 일산동구 견달산로 351,37.69715209,126.819685
과천시,경마장 오리집,경기도 과천시 궁말로 20-4,37.44107918,127.0104554
과천시,해원복집,경기도 과천시 별양상가로 2,37.42775142,126.9920513
광주시,고향매운탕,경기도 광주시 남종면 산수로 1686,37.49929153,127.3027287
광주시,수와연,경기도 광주시 남종면 산수로 1680,37.4988496,127.3025715
광주시,능골한우가,경기도 광주시 오포로 147,37.34565862,127.1817498
광주시,맛있는 발효밥상궁뜰,경기도 광주시 도척면 궁평하천길 38,37.33983407,127.3356487
광주시,한마당,경기도 광주시 남한산성면 남한산성로792번길 17-1,37.47718845,127.1821089
광주시,쇠뫼기,경기도 광주시 퇴촌면 정영로 580-3,37.47786486,127.3511585
김포시,풀잎속의생명,경기도 김포시 사우로 3-12,37.62192276,126.7226239
김포시,나룻터숯불장어구이,경기도 김포시 월곶면 김포대로3023번길 96,37.73123433,126.5260318
김포시,남강메기매운탕,경기도 김포시 김포대로 1535,37.65989395,126.6656657
남양주시,맷돌36 숯불갈비,경기도 남양주시 화도읍 맷돌로 36,37.65807852,127.2948607
남양주시,(주)광릉불고기,경기도 남양주시 진접읍 광릉내로82번길 40-1,37.74500019,127.2079588
남양주시,남양주축협한우명가,경기도 남양주시 화도읍 창현로 47-1,37.64630757,127.3058546
남양주시,광릉돌솥밥,경기도 남양주시 진접읍 금강로1845번길 1,37.7496438,127.2086784
남양주시,더 늘봄,경기도 남양주시 진접읍 금강로 1845,37.74931632,127.2074651
동두천시,대호숯불갈비,경기도 동두천시 중앙로265번길 19,37.90524384,127.0526923
동두천시,그집순대국,경기도 동두천시 장고갯로 127,37.9064955,127.0644014
동두천시,동동갈비,경기도 동두천시 어수로101번길 13,37.90295879,127.0538095
동두천시,아리랑갈비,경기도 동두천시 평화로2261번길 36,37.89080184,127.0566124
동두천시,생연칼국수,경기도 동두천시 생연로 124,37.90353541,127.0513832
부천시,작동오리불고기,경기도 부천시 역곡로344번길 16,37.51474261,126.8138874
부천시,명가추어탕,경기도 부천시 원종로86번길 7,37.52380397,126.8097303
부천시,황해도,경기도 부천시 원종로51번길 64,37.52693602,126.8058649
부천시,조박사아구까치복,경기도 부천시 삼작로256번길 9,37.51982042,126.7900315
부천시,참맛진숯불갈비,경기도 부천시 석천로177번길 16,37.50352368,126.7620258
부천시,우소보소 수련,경기도 부천시 옥산로 104,37.50303413,126.7805625
부천시,송도 숯불장어,경기도 부천시 길주로 81,37.50633295,126.7515325
성남시,두향,경기도 성남시 분당구 불곡남로 5,37.35892569,127.1230194
성남시,욕쟁이 장마담집,경기도 성남시 수정구 수정로 460-3,37.46154815,127.1558057
성남시,북촌생태찌개,경기도 성남시 수정구 대왕판교로 907,37.42123088,127.1016185
성남시,유명갈매기,경기도 성남시 중원구 양현로 469,37.41698328,127.1344363
성남시,고암남원추어탕,경기도 성남시 수정구 산성대로 597,37.46307296,127.1689498
수원시,장터설렁탕,경기도 수원시 권선구 수인로 257,37.28089985,126.9737503
수원시,거진포생태도루묵,경기도 수원시 팔달구 중부대로128번길 49,37.27596033,127.029439
수원시,돌솥삼계탕,경기도 수원시 권선구 수인로 273,37.28178652,126.9724694
수원시,가보정,경기도 수원시 팔달구 장다리로 282,37.27422678,127.0287166
수원시,송풍가든,경기도 수원시 장안구 경수대로 1013,37.3062283,127.0006674
수원시,신라갈비,경기도 수원시 영통구 동수원로 538,37.27377479,127.0492142
수원시,본수원갈비,경기도 수원시 팔달구 중부대로223번길 41,37.27802344,127.0406386
수원시,연포갈비,경기도 수원시 팔달구 정조로906번길 56-5,37.28760009,127.0167087
수원시,바나나테이블,경기도 수원시 영통구 센트럴타운로 85,37.29156405,127.0504732
수원시,우리낙지한마당,경기도 수원시 팔달구 갓매산로 21,37.26654531,127.0062078
수원시,명가정,경기도 수원시 권선구 탑동로57번길 29,37.27306964,126.9723723
수원시,남촌,경기도 수원시 권선구 권광로 123,37.25877435,127.0303466
수원시,서윤한정식,경기도 수원시 영통구 덕영대로1499번길 28,37.24689268,127.0557112
수원시,한국관,경기도 수원시 팔달구 권선로741번길 16-8,37.25818051,127.0328989
수원시,대유평,경기도 수원시 장안구 수일로 221,37.30694492,127.0147568
수원시,추미정남원추어탕,경기도 수원시 장안구 파장천로 123,37.31493907,127.0014675
