지역,이름,주소,위도,경도
가평군,대성,경기도 가평군 청평면 대성리 601-6 일원,37.68002753,127.3798509
가평군,산장,경기도 가평군 상면 덕현리 20-13 일원,37.75417914,127.4106251
고양시,고양,경기도 고양시 일산서구 대화동 2606-1번지,37.66382191,126.7556343
남양주시,수동,경기도 남양주시 수동면 내방리 250 일원,37.7580483,127.2759931
동두천시,소요산,경기도 동두천시 상봉암동 산1-1 일원,37.94593626,127.0693244
수원시,수원화성,경기도 수원시 장안구 연무동 190 일원,37.28782186,127.0183314
안성시,죽산,경기도 안성시 죽산면 당목리 129 일원,37.02368876,127.4492691
양주시,장흥,경기도 양주시 장흥면 석현리 394-14 일원,37.73098162,126.9495773
양평군,용문산,경기도 양평군 용문면 신점리 525-2 일원,37.54530642,127.5830573
여주시,신륵사,경기도 여주시 천송동 289-4 일원,37.29839055,127.6557987
연천군,한탄강,경기도 연천군 전곡읍 전곡리 692-1 일원,38.01166401,127.0563638
파주시,임진각,경기도 파주시 문산읍 마정리 1198-1 일원,37.8904903,126.7433788
파주시,공릉,경기도 파주시 조리읍 장곡리 420-11 일원,37.74995569,126.8345306
평택시,내리,경기도 평택시 팽성읍 내리 15-5,36.97513693,127.0323962
평택시,평택호,경기도 평택시 현덕면 권관리 551-3 일원,36.91482854,126.9129148
포천시,백운계곡,경기도 포천시 이동면 도평리 35 일원,38.0722579,127.4104789
포천시,산정호수,경기도 포천시 영북면 산정리 191-1 일원,38.06887673,127.3221175
화성시,궁평,경기도 화성시 서신면 궁평리 512-4 일원,37.12919558,126.6828134
